scan_round,peptide_length,backbone_file,archived_path,source_path,candidate_id
RF_round2,9,GCGR_9_12_3.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_3.pdb,batch2/GCGR_9_12_3.pdb,
RF_round2,10,GCGR_9_12_30.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_30.pdb,batch2/GCGR_9_12_30.pdb,
RF_round2,10,GCGR_9_12_31.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_31.pdb,batch2/GCGR_9_12_31.pdb,
RF_round2,9,GCGR_9_12_32.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_32.pdb,batch2/GCGR_9_12_32.pdb,
RF_round2,9,GCGR_9_12_33.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_33.pdb,batch2/GCGR_9_12_33.pdb,
RF_round2,9,GCGR_9_12_34.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_34.pdb,batch2/GCGR_9_12_34.pdb,
RF_round2,11,GCGR_9_12_35.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_35.pdb,batch2/GCGR_9_12_35.pdb,
RF_round2,12,GCGR_9_12_36.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_36.pdb,batch2/GCGR_9_12_36.pdb,
RF_round2,12,GCGR_9_12_37.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_37.pdb,batch2/GCGR_9_12_37.pdb,
RF_round2,9,GCGR_9_12_38.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_38.pdb,batch2/GCGR_9_12_38.pdb,
RF_round2,9,GCGR_9_12_39.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_39.pdb,batch2/GCGR_9_12_39.pdb,
RF_round2,10,GCGR_9_12_4.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_4.pdb,batch2/GCGR_9_12_4.pdb,
RF_round2,11,GCGR_9_12_40.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_40.pdb,batch2/GCGR_9_12_40.pdb,
RF_round2,11,GCGR_9_12_41.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_41.pdb,batch2/GCGR_9_12_41.pdb,GCGR_9_12_41
RF_round2,10,GCGR_9_12_42.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_42.pdb,batch2/GCGR_9_12_42.pdb,
RF_round2,10,GCGR_9_12_43.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_43.pdb,batch2/GCGR_9_12_43.pdb,
RF_round2,9,GCGR_9_12_44.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_44.pdb,batch2/GCGR_9_12_44.pdb,
RF_round2,10,GCGR_9_12_45.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_45.pdb,batch2/GCGR_9_12_45.pdb,
RF_round2,9,GCGR_9_12_46.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_46.pdb,batch2/GCGR_9_12_46.pdb,
RF_round2,11,GCGR_9_12_47.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_47.pdb,batch2/GCGR_9_12_47.pdb,
RF_round2,10,GCGR_9_12_48.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_48.pdb,batch2/GCGR_9_12_48.pdb,
RF_round2,10,GCGR_9_12_49.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_49.pdb,batch2/GCGR_9_12_49.pdb,
RF_round2,12,GCGR_9_12_5.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_5.pdb,batch2/GCGR_9_12_5.pdb,
RF_round2,10,GCGR_9_12_50.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_50.pdb,batch2/GCGR_9_12_50.pdb,
RF_round2,12,GCGR_9_12_51.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_51.pdb,batch2/GCGR_9_12_51.pdb,GCGR_9_12_51
RF_round2,12,GCGR_9_12_52.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_52.pdb,batch2/GCGR_9_12_52.pdb,
RF_round2,9,GCGR_9_12_53.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_53.pdb,batch2/GCGR_9_12_53.pdb,
RF_round2,9,GCGR_9_12_54.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_54.pdb,batch2/GCGR_9_12_54.pdb,
RF_round2,10,GCGR_9_12_55.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_55.pdb,batch2/GCGR_9_12_55.pdb,
RF_round2,10,GCGR_9_12_56.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_56.pdb,batch2/GCGR_9_12_56.pdb,
RF_round2,12,GCGR_9_12_57.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_57.pdb,batch2/GCGR_9_12_57.pdb,
RF_round2,10,GCGR_9_12_58.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_58.pdb,batch2/GCGR_9_12_58.pdb,
RF_round2,11,GCGR_9_12_59.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_59.pdb,batch2/GCGR_9_12_59.pdb,
RF_round2,12,GCGR_9_12_6.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_6.pdb,batch2/GCGR_9_12_6.pdb,
RF_round2,12,GCGR_9_12_7.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_7.pdb,batch2/GCGR_9_12_7.pdb,
RF_round2,12,GCGR_9_12_8.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_8.pdb,batch2/GCGR_9_12_8.pdb,GCGR_9_12_8
RF_round2,9,GCGR_9_12_9.pdb,results/structures/length_scan/round2_length_9_12/GCGR_9_12_9.pdb,batch2/GCGR_9_12_9.pdb,
